"dim_zip","CBSA","CBSA.Title","dim_rent_acs","dim_avg_nightly_revenue_private","nights_to_pay_off_month_of_rent_private"
"00601","10260","Adjuntas, PR",367,NA,NA
"00602","10380","Aguadilla-Isabela, PR",411,NA,NA
"00603","10380","Aguadilla-Isabela, PR",369,NA,NA
"00606","41900","San Germán, PR",326,NA,NA
"00610","10380","Aguadilla-Isabela, PR",419,NA,NA
"00612","41980","San Juan-Carolina-Caguas, PR",411,NA,NA
"00616","41980","San Juan-Carolina-Caguas, PR",454,NA,NA
"00617","41980","San Juan-Carolina-Caguas, PR",446,NA,NA
"00622","41900","San Germán, PR",564,NA,NA
"00623","41900","San Germán, PR",397,NA,NA
"00624","38660","Ponce, PR",385,NA,NA
"00627","41980","San Juan-Carolina-Caguas, PR",433,NA,NA
"00631","10260","Adjuntas, PR",289,NA,NA
"00631","10380","Aguadilla-Isabela, PR",289,NA,NA
"00637","41900","San Germán, PR",414,NA,NA
"00638","41980","San Juan-Carolina-Caguas, PR",356,NA,NA
"00641","10260","Adjuntas, PR",400,NA,NA
"00646","41980","San Juan-Carolina-Caguas, PR",666,NA,NA
"00647","41900","San Germán, PR",494,NA,NA
"00650","41980","San Juan-Carolina-Caguas, PR",430,NA,NA
"00652","41980","San Juan-Carolina-Caguas, PR",398,NA,NA
"00659","41980","San Juan-Carolina-Caguas, PR",432,NA,NA
"00660","32420","Mayagüez, PR",454,NA,NA
"00662","10380","Aguadilla-Isabela, PR",467,NA,NA
"00664","27580","Jayuya, PR",413,NA,NA
"00667","41900","San Germán, PR",439,NA,NA
"00669","10380","Aguadilla-Isabela, PR",405,NA,NA
"00670","10380","Aguadilla-Isabela, PR",294,NA,NA
"00674","41980","San Juan-Carolina-Caguas, PR",447,NA,NA
"00676","10380","Aguadilla-Isabela, PR",402,NA,NA
"00677","10380","Aguadilla-Isabela, PR",440,NA,NA
"00678","10380","Aguadilla-Isabela, PR",393,NA,NA
"00678","41980","San Juan-Carolina-Caguas, PR",393,NA,NA
"00680","10380","Aguadilla-Isabela, PR",398,NA,NA
"00680","32420","Mayagüez, PR",398,NA,NA
"00680","41900","San Germán, PR",398,NA,NA
"00682","32420","Mayagüez, PR",355,NA,NA
"00683","41900","San Germán, PR",373,NA,NA
"00685","10380","Aguadilla-Isabela, PR",359,NA,NA
"00687","41980","San Juan-Carolina-Caguas, PR",455,NA,NA
"00688","41980","San Juan-Carolina-Caguas, PR",510,NA,NA
"00690","10380","Aguadilla-Isabela, PR",486,NA,NA
"00692","41980","San Juan-Carolina-Caguas, PR",510,NA,NA
"00693","41980","San Juan-Carolina-Caguas, PR",542,NA,NA
"00694","41980","San Juan-Carolina-Caguas, PR",NA,NA,NA
"00703","41980","San Juan-Carolina-Caguas, PR",442,NA,NA
"00704","17620","Coamo, PR",370,NA,NA
"00704","25020","Guayama, PR",370,NA,NA
"00705","17620","Coamo, PR",395,NA,NA
"00705","41980","San Juan-Carolina-Caguas, PR",395,NA,NA
"00707","41980","San Juan-Carolina-Caguas, PR",337,NA,NA
"00714","25020","Guayama, PR",448,NA,NA
"00715","38660","Ponce, PR",308,NA,NA
"00716","38660","Ponce, PR",352,NA,NA
"00717","38660","Ponce, PR",379,NA,NA
"00718","41980","San Juan-Carolina-Caguas, PR",418,NA,NA
"00719","41980","San Juan-Carolina-Caguas, PR",457,NA,NA
"00720","17620","Coamo, PR",348,NA,NA
"00720","41980","San Juan-Carolina-Caguas, PR",348,NA,NA
"00723","25020","Guayama, PR",357,NA,NA
"00725","41980","San Juan-Carolina-Caguas, PR",464,NA,NA
"00727","41980","San Juan-Carolina-Caguas, PR",657,NA,NA
"00728","38660","Ponce, PR",472,NA,NA
"00729","41980","San Juan-Carolina-Caguas, PR",483,NA,NA
"00730","38660","Ponce, PR",420,NA,NA
"00731","10260","Adjuntas, PR",366,NA,NA
"00731","38660","Ponce, PR",366,NA,NA
"00735","41980","San Juan-Carolina-Caguas, PR",478,NA,NA
"00736","41980","San Juan-Carolina-Caguas, PR",458,NA,NA
